Date,Open,High,Low,Close,Adj Close,Volume
2/13/2015,158.779999,160.800003,158.639999,160.399994,127.110313,3706900
2/17/2015,159.75,161.410004,159.729996,160.960007,127.55407,2894500
2/18/2015,161.860001,162.470001,160.639999,162.190002,128.528809,4358400
2/19/2015,162.050003,164.490005,161.440002,163.889999,129.875977,3504400
2/20/2015,163.639999,164.339996,162.089996,163.649994,129.68576,3353000
2/23/2015,164.229996,164.399994,162.5,162.910004,129.09938,2714400
2/24/2015,162.490005,164.990005,161.509995,164.830002,130.620911,4701600
2/25/2015,164.940002,164.960007,162.580002,162.809998,129.020111,4004600
2/26/2015,163.740005,164.139999,159.770004,160.869995,127.482758,7110800
2/27/2015,160.869995,162.289993,160.160004,161.940002,128.330688,4410000
3/2/2015,161.940002,161.940002,159.809998,160.479996,127.173683,5917900
3/3/2015,160.270004,161.75,160,161.029999,127.609535,3234400
3/4/2015,160.539993,160.559998,158.720001,159.419998,126.333725,3633600
3/5/2015,159.860001,161.5,159.699997,161.179993,127.728386,3791700
3/6/2015,160.190002,161.440002,158.059998,158.5,125.604637,4540200
3/9/2015,158.199997,161.149994,158.199997,160.770004,127.403534,5193900
3/10/2015,159.600006,160.229996,157.809998,157.809998,125.057861,4601000
3/11/2015,158.570007,159.139999,155.940002,156.800003,124.257454,5709900
3/12/2015,156.270004,158.720001,156.270004,157.979996,125.192551,4567300
3/13/2015,157.460007,157.520004,153.399994,154.279999,122.260483,6064100
3/16/2015,155.050003,157.089996,154.800003,157.080002,124.479355,3749600
3/17/2015,156.199997,157.289993,155.369995,156.960007,124.384254,3311700
3/18/2015,156.850006,160.699997,155.800003,159.809998,126.642769,5738800
3/19/2015,159.699997,160.919998,158.809998,159.809998,126.642769,3878600
3/20/2015,160.949997,163,160.350006,162.880005,129.075592,9006400
3/23/2015,162.770004,165.350006,162.729996,164.630005,130.462402,5930100
3/24/2015,164.789993,164.889999,162.899994,163,129.17067,4346100
3/25/2015,163.080002,163.080002,159.199997,159.199997,126.159355,5428900
3/26/2015,159.270004,161.25,158.910004,160.589996,127.260841,4396000
3/27/2015,160.789993,160.899994,159.229996,160.399994,127.110313,3477900
3/30/2015,161.309998,163.600006,161.25,162.669998,128.909195,4138000
3/31/2015,161.080002,162.330002,160.399994,160.5,127.189522,4255400
4/1/2015,160.229996,160.619995,158.389999,159.179993,126.143509,3700800
4/2/2015,159.520004,162.539993,158.889999,160.449997,127.14994,4671600
4/6/2015,159.690002,162.800003,158.699997,162.039993,128.409958,3465700
4/7/2015,161.669998,163.839996,161.619995,162.070007,128.433716,3148000
4/8/2015,161.720001,163.550003,161.009995,161.850006,128.259369,2524300
4/9/2015,161.699997,162.470001,160.720001,162.339996,128.647675,2263500
4/10/2015,162.339996,163.330002,161.25,162.860001,129.059753,2515700
4/13/2015,162.369995,164,162.360001,162.380005,128.679398,3868900
4/14/2015,162.419998,162.740005,160.789993,162.300003,128.615982,2719300
4/15/2015,162.630005,164.960007,162.5,164.130005,130.066162,3498800
4/16/2015,163.309998,163.979996,162.539993,163.130005,129.273743,3136900
4/17/2015,161.75,161.860001,160.029999,160.669998,127.324249,4314400
4/20/2015,162.100006,166.639999,161.899994,166.160004,131.674896,9609200
4/21/2015,166.070007,167.380005,164.050003,164.259995,130.16922,9683600
4/22/2015,164.389999,166,162.889999,165.360001,131.040909,4024800
4/23/2015,165.229996,171.910004,165.139999,170.240005,134.908096,8235600
4/24/2015,170.229996,170.850006,168.740005,169.779999,134.543564,3888400
4/27/2015,170.889999,171.490005,170.300003,170.729996,135.296387,3168600
4/28/2015,170.830002,174.690002,170.020004,173.919998,137.824371,5816700
4/29/2015,173.399994,175.130005,172.800003,174.399994,138.204697,4518400
4/30/2015,173.770004,174.279999,170.300003,171.289993,135.740173,5062900
5/1/2015,173.199997,174,172.419998,173.669998,137.626236,3312100
5/4/2015,174.470001,176.300003,173.699997,173.970001,137.863968,4028000
5/5/2015,173.509995,174.229996,171.960007,173.080002,137.158676,3593600
5/6/2015,172.899994,174.050003,168.860001,170.050003,135.777344,3612600
5/7/2015,169.630005,171.979996,169.039993,170.990005,137.579651,2472000
5/8/2015,172.940002,173.330002,172.240005,172.679993,138.939438,3092600
5/11/2015,172.649994,172.990005,170.860001,171.119995,137.684235,2661000
